分类模式 段落长度 主题数 准确率 运行时间
字 100 5 0.184152 1：26：45
字 100 10 0.263938 1：32：41
字 100 20 0.190494 1：25：06
字 100 50 0.244035 1：52：10
词 3000 5 0.4918 5：33
词 3000 10 0.1431 1：16
词 3000 20 0.3222 22：53
词 3000 50 0.4389 26：40

词 100 5 0.356588 51：11
词 100 10 0.440528 52：35
词 100 20 0.535970 52：36
词 100 50 0.613763 54：23
词 500 5 0.483668 14：13
词 500 10 0.572416 12：48
词 500 20 0.689424 14：41
词 500 50 0.791391 42：02
词 1000 5 0.563374 7：57
词 1000 10 0.720562 7：24
词 1000 20 0.762578 8：05
词 1000 50 0.836415 35：01
词 3000 5 0.533009 3：43
词 3000 10 0.723357 5：35
词 3000 20 0.836188 11：20
词 3000 50 0.834604 15：19




